,stars,contributors,open_issues,closed_issues,commits,defect_proneness,topics,releases_count,project_name,useful_lines_of_code_(uloc),duplicate_uloc,classes,files,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,log_stars,log_uloc,log_commits,log_contributors,log_open_issues,log_closed_issues,log_classes,log_files,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count,overall_score_no_topics,architecture_score_no_topics,clarity_score_no_topics,complexity_score_no_topics,explanation_no_topics,benchmark_selection_no_topics,benchmark_count_no_topics
228,2853,132,20,983,3887,35.16851041934654,[],28,meetecho/janus-gateway,81547,9761,0.0,103,Core-Periphery,True,32.0,33.0,31.916,29.1,32.2,11.96978429617276,11.47826403158172,16.315344182731444,11.924441392339197,7.044394119358453,4.321928094887363,9.94104760634058,0.0,6.6865005271832185,1.78,0.65,0.64,0.49,"{'useful_comment_density': 'useful_comment_density percentile: 63.73626373626374(+0.6373626373626373)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 97.8021978021978(+0.021978021978022042)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 52.747252747252745(+0.47252747252747257)', 'propagation_cost': 'propagation_cost percentile: 65.93406593406593(+0.3406593406593407)', 'core_size': 'core_size percentile: 69.23076923076923(+0.3076923076923077)'}",LOC,91,1.78,0.65,0.64,0.49,"{'useful_comment_density': 'useful_comment_density percentile: 63.73626373626374(+0.6373626373626373)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 97.8021978021978(+0.021978021978022042)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 52.747252747252745(+0.47252747252747257)', 'propagation_cost': 'propagation_cost percentile: 65.93406593406593(+0.3406593406593407)', 'core_size': 'core_size percentile: 69.23076923076923(+0.3076923076923077)'}",LOC,91
206,2852,46,136,261,2219,21.541234790446147,[],11,mossmann/hackrf,10758,685,0.0,121,Core-Periphery,True,25.6,23.1,30.49,1.7,22.7,6.367354526863729,11.477758266443889,13.393122273589531,11.115693952197011,5.523561956057013,7.087462841250339,8.027905996569885,0.0,6.918863237274595,2.76,0.92,0.58,1.26,"{'useful_comment_density': 'useful_comment_density percentile: 57.758620689655174(+0.5775862068965517)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 13.793103448275861(+0.8620689655172414)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 60.3448275862069(+0.39655172413793105)', 'propagation_cost': 'propagation_cost percentile: 50.86206896551724(+0.4913793103448276)', 'core_size': 'core_size percentile: 56.89655172413793(+0.4310344827586207)'}",LOC,116,2.76,0.92,0.58,1.26,"{'useful_comment_density': 'useful_comment_density percentile: 57.758620689655174(+0.5775862068965517)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 13.793103448275861(+0.8620689655172414)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 60.3448275862069(+0.39655172413793105)', 'propagation_cost': 'propagation_cost percentile: 50.86206896551724(+0.4913793103448276)', 'core_size': 'core_size percentile: 56.89655172413793(+0.4310344827586207)'}",LOC,116
187,2851,405,215,2335,25568,31.375156445556946,[],183,rubinius/rubinius,419791,91353,544.0,2019,Core-Periphery,True,12.2,50.0,12.219000000000001,3.7,6.7,21.761543244138153,11.477252323937952,18.679311711113204,14.642051692927977,8.661778097771988,7.7481928495894605,11.189206834597025,9.087462841250339,10.979425195331473,2.54,1.34,0.06,1.14,"{'useful_comment_density': 'useful_comment_density percentile: 5.714285714285714(+0.05714285714285714)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 5.714285714285714(+0.942857142857143)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 80.0(+0.2)', 'propagation_cost': 'propagation_cost percentile: 28.571428571428573(+0.7142857142857143)', 'core_size': 'core_size percentile: 37.142857142857146(+0.6285714285714286)'}",LOC,35,2.54,1.34,0.06,1.14,"{'useful_comment_density': 'useful_comment_density percentile: 5.714285714285714(+0.05714285714285714)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 5.714285714285714(+0.942857142857143)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 80.0(+0.2)', 'propagation_cost': 'propagation_cost percentile: 28.571428571428573(+0.7142857142857143)', 'core_size': 'core_size percentile: 37.142857142857146(+0.6285714285714286)'}",LOC,35
232,2849,60,321,2077,15035,32.00532091785833,"['john', 'c', 'ripper', 'hashes', 'hash-types', 'password', 'cracking', 'jtr', 'opencl', 'gpgpu', 'assembler', 'simd-parallelism']",18,magnumripper/JohnTheRipper,139209,67030,0.0,1033,Core-Periphery,True,15.6,35.8,12.889000000000001,9.9,19.4,48.15062244538787,11.476239906323851,17.08689296030475,13.876037247461365,5.906890595608519,8.326429487122303,11.020285500844647,0.0,10.01262453886506,2.25,1.38,0.33,0.54,"{'useful_comment_density': 'useful_comment_density percentile: 32.89473684210526(+0.3289473684210526)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 51.31578947368421(+0.48684210526315785)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 94.73684210526316(+0.052631578947368356)', 'propagation_cost': 'propagation_cost percentile: 27.63157894736842(+0.7236842105263157)', 'core_size': 'core_size percentile: 34.21052631578947(+0.6578947368421052)'}",LOC,76,2.25,1.38,0.33,0.54,"{'useful_comment_density': 'useful_comment_density percentile: 32.89473684210526(+0.3289473684210526)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 51.31578947368421(+0.48684210526315785)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 94.73684210526316(+0.052631578947368356)', 'propagation_cost': 'propagation_cost percentile: 27.63157894736842(+0.7236842105263157)', 'core_size': 'core_size percentile: 34.21052631578947(+0.6578947368421052)'}",LOC,76
193,2825,29,66,84,269,19.702602230483276,[],1,google/eddystone,5454,132,13.0,87,Core-Periphery,True,10.3,29.9,8.046,3.4,98.8,2.42024202420242,11.464035152189913,12.413098984915264,8.071462362556623,4.857980995127572,6.044394119358453,6.392317422778761,3.700439718141092,6.442943495848728,3.71,1.52,1.0,1.19,"{'useful_comment_density': 'useful_comment_density percentile: 100.0(+1.0)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.333333333333336(+0.5666666666666667)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 38.095238095238095(+0.6190476190476191)', 'propagation_cost': 'propagation_cost percentile: 8.571428571428571(+0.9142857142857143)', 'core_size': 'core_size percentile: 39.04761904761905(+0.6095238095238095)'}",LOC,105,3.71,1.52,1.0,1.19,"{'useful_comment_density': 'useful_comment_density percentile: 100.0(+1.0)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.333333333333336(+0.5666666666666667)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 38.095238095238095(+0.6190476190476191)', 'propagation_cost': 'propagation_cost percentile: 8.571428571428571(+0.9142857142857143)', 'core_size': 'core_size percentile: 39.04761904761905(+0.6095238095238095)'}",LOC,105
222,2792,78,263,296,1832,32.4235807860262,"['emulator', 'framework', 'cpu', 'arm', 'arm64', 'mips', 'm68k', 'sparc', 'x86', 'x86-64', 'security', 'reverse-engineering']",6,unicorn-engine/unicorn,104179,9200,0.0,403,Core-Periphery,True,44.7,44.7,43.286,8.7,18.2,8.830954414997265,11.447083226209653,16.668704968471765,10.839203788096944,6.285402218862249,8.038918989292302,8.20945336562895,0.0,8.654636028527968,1.87,0.34,0.35,1.18,"{'useful_comment_density': 'useful_comment_density percentile: 35.294117647058826(+0.35294117647058826)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.529411764705884(+0.5647058823529412)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 38.8235294117647(+0.611764705882353)', 'propagation_cost': 'propagation_cost percentile: 84.70588235294117(+0.15294117647058825)', 'core_size': 'core_size percentile: 81.17647058823529(+0.1882352941176471)'}",LOC,85,1.87,0.34,0.35,1.18,"{'useful_comment_density': 'useful_comment_density percentile: 35.294117647058826(+0.35294117647058826)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.529411764705884(+0.5647058823529412)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 38.8235294117647(+0.611764705882353)', 'propagation_cost': 'propagation_cost percentile: 84.70588235294117(+0.15294117647058825)', 'core_size': 'core_size percentile: 81.17647058823529(+0.1882352941176471)'}",LOC,85
207,2764,54,27,83,628,24.044585987261147,[],6,P-H-C/phc-winner-argon2,2005,98,0.0,20,Core-Periphery,True,10.0,20.0,31.5,0.0,28.2,4.887780548628429,11.432541900388259,10.969386521342283,9.294620748891626,5.754887502163468,4.754887502163468,6.3750394313469245,0.0,4.321928094887363,2.8,1.05,0.78,0.97,"{'useful_comment_density': 'useful_comment_density percentile: 77.58620689655173(+0.7758620689655173)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 33.62068965517241(+0.6637931034482759)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 68.96551724137932(+0.31034482758620685)', 'propagation_cost': 'propagation_cost percentile: 41.37931034482759(+0.5862068965517241)', 'core_size': 'core_size percentile: 53.44827586206897(+0.46551724137931033)'}",LOC,58,2.8,1.05,0.78,0.97,"{'useful_comment_density': 'useful_comment_density percentile: 77.58620689655173(+0.7758620689655173)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 33.62068965517241(+0.6637931034482759)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 68.96551724137932(+0.31034482758620685)', 'propagation_cost': 'propagation_cost percentile: 41.37931034482759(+0.5862068965517241)', 'core_size': 'core_size percentile: 53.44827586206897(+0.46551724137931033)'}",LOC,58
242,2756,91,0,0,68072,40.201551298624985,[],260,qemu/qemu,1019032,132649,30.0,4180,Core-Periphery,True,28.6,46.2,24.8,17.1,15.7,13.017157459235824,11.428360172704291,19.958767925554532,16.054773877229938,6.507794640198696,0.0,0.0,4.906890595608519,12.029287226968245,1.76,0.76,0.36,0.64,"{'useful_comment_density': 'useful_comment_density percentile: 36.0(+0.36)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 84.0(+0.16)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 52.0(+0.48)', 'propagation_cost': 'propagation_cost percentile: 60.0(+0.4)', 'core_size': 'core_size percentile: 64.0(+0.36)'}",NEAREST,25,1.76,0.76,0.36,0.64,"{'useful_comment_density': 'useful_comment_density percentile: 36.0(+0.36)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 84.0(+0.16)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 52.0(+0.48)', 'propagation_cost': 'propagation_cost percentile: 60.0(+0.4)', 'core_size': 'core_size percentile: 64.0(+0.36)'}",NEAREST,25
224,2745,18,368,332,1422,32.91139240506329,[],25,libimobiledevice/libimobiledevice,13189,723,0.0,100,Core-Periphery,True,6.0,25.0,15.88,6.0,24.6,5.4818409280461,11.42259043389256,13.687047562051522,10.473705749619416,4.169925001442312,8.523561956057012,8.375039431346925,0.0,6.643856189774724,3.11,1.53,0.61,0.97,"{'useful_comment_density': 'useful_comment_density percentile: 61.016949152542374(+0.6101694915254238)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 51.69491525423729(+0.4830508474576271)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 50.847457627118644(+0.4915254237288136)', 'propagation_cost': 'propagation_cost percentile: 27.11864406779661(+0.728813559322034)', 'core_size': 'core_size percentile: 19.491525423728813(+0.8050847457627118)'}",LOC,118,3.11,1.53,0.61,0.97,"{'useful_comment_density': 'useful_comment_density percentile: 61.016949152542374(+0.6101694915254238)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 51.69491525423729(+0.4830508474576271)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 50.847457627118644(+0.4915254237288136)', 'propagation_cost': 'propagation_cost percentile: 27.11864406779661(+0.728813559322034)', 'core_size': 'core_size percentile: 19.491525423728813(+0.8050847457627118)'}",LOC,118
216,2717,127,220,534,5525,51.63800904977376,"['hids', 'security', 'pci-dss', 'nist800-53', 'ossec', 'compliance', 'intrusion-detection', 'fim', 'loganalyzer', 'policy-monitoring', 'file-integrity-management']",40,ossec/ossec-hids,60173,5948,12.0,515,Core-Periphery,True,8.0,22.1,8.833,3.3,27.9,9.884832067538598,11.407798850221974,15.876828665471775,12.431758749166157,6.9886846867721655,7.78135971352466,9.060695931687555,3.584962500721156,9.00842862207058,3.63,1.62,0.66,1.35,"{'useful_comment_density': 'useful_comment_density percentile: 66.3265306122449(+0.6632653061224489)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 14.285714285714286(+0.8571428571428571)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 51.02040816326531(+0.4897959183673469)', 'propagation_cost': 'propagation_cost percentile: 11.224489795918368(+0.8877551020408163)', 'core_size': 'core_size percentile: 26.53061224489796(+0.7346938775510204)'}",LOC,98,3.63,1.62,0.66,1.35,"{'useful_comment_density': 'useful_comment_density percentile: 66.3265306122449(+0.6632653061224489)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 14.285714285714286(+0.8571428571428571)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 51.02040816326531(+0.4897959183673469)', 'propagation_cost': 'propagation_cost percentile: 11.224489795918368(+0.8877551020408163)', 'core_size': 'core_size percentile: 26.53061224489796(+0.7346938775510204)'}",LOC,98
