name,owner,url,version,creation date,stars,watches,forks,contributors,languages,open issues,closed issues,commits,defect_proneness,last year commit #,description,topics,releases_count,Project Name,Useful Lines of Code (ULOC),Software Lines of Code (SLOC),Duplicate Useful Lines of Code,Classes,Files,Architecture Type,Core,Core Size,Central Size,Propagation Cost,Overly Complex Files,Useful Comment Density
carbon,carbon-app,https://github.com/carbon-app/carbon,2019-08-31T01:22:03Z,2017-06-16T02:50:28Z,21216,229,1050,8,JavaScript,14,360,867,23.64475201845444,0,🎨 Create and share beautiful images of your source code,"['carbon', 'tweets', 'javascript', 'nextjs', 'screenshot', 'beautiful', 'snippets', 'codemirror', 'github-gist']",122,dawnlabs/carbon,6523,7608,46,18,79,Hierarchical,False,2.5,53.2,5.480,0.0,5.4
webtorrent,webtorrent,https://github.com/webtorrent/webtorrent,2019-08-26T19:43:08Z,2013-10-15T08:16:40Z,20128,729,1935,100,JavaScript,103,1111,2399,17.757398916215088,111,⚡️ Streaming torrent client for the web,"['webtorrent', 'bittorrent', 'webrtc', 'javascript', 'p2p', 'nodejs', 'streaming', 'browser', 'torrent']",293,webtorrent/webtorrent,3655,4512,260,69,40,Hierarchical,False,0,0.0,2.500,0.0,13.2
react-starter-kit,kriasoft,https://github.com/kriasoft/react-starter-kit,2019-07-03T04:12:13Z,2014-04-16T13:08:18Z,19462,594,3901,91,JavaScript,433,694,910,23.626373626373624,8,"React Starter Kit — isomorphic web app boilerplate (Node.js, Express, GraphQL, React.js, Babel, PostCSS, Webpack, Browsersync)","['react', 'javascript', 'graphql', 'boilerplate', 'reactjs', 'webpack', 'babel', 'browsersync', 'flux', 'redux', 'nodejs', 'ssr', 'i18n']",8,kriasoft/react-starter-kit,2200,2686,89,16,84,Hierarchical,False,3.6,29.8,3.472,0.0,21.4
mobx,mobxjs,https://github.com/mobxjs/mobx,2019-08-22T20:54:40Z,2015-03-14T14:31:38Z,20249,402,1240,121,JavaScript,27,1343,2305,28.06941431670282,174,"Simple, scalable state management.","['mobx', 'reactive-programming', 'react', 'typescript', 'javascript']",205,mobxjs/mobx,11884,14738,1251,79,86,Core-Periphery,True,29.1,53.5,17.915,0.0,7.7
marked,markedjs,https://github.com/markedjs/marked,2019-08-26T18:59:02Z,2011-07-24T13:15:51Z,20284,396,2622,90,JavaScript,73,842,1655,22.477341389728096,302,A markdown parser and compiler. Built for speed.,"['markdown', 'compiler', 'parser', 'commonmark', 'gfm']",55,markedjs/marked,2033,2564,94,12,99,Hierarchical,False,0,6.1,1.061,0.0,9.6
dragula,bevacqua,https://github.com/bevacqua/dragula,2019-08-26T00:42:42Z,2015-04-13T21:35:38Z,19228,393,1663,39,JavaScript,166,286,348,26.436781609195403,1,:ok_hand: Drag and drop so simple it hurts,"['javascript', 'front-end', 'drag-and-drop', 'vanilla', 'drag-drop', 'dragging', 'component']",66,bevacqua/dragula,2070,2591,1672,,22,Hierarchical,False,0,22.7,5.372,0.0,4.3
front-end-interview-handbook,yangshun,https://github.com/yangshun/front-end-interview-handbook,2019-08-25T13:39:35Z,2018-01-13T19:40:08Z,20998,672,2745,7,JavaScript,17,32,334,26.34730538922156,55,"🕸 Almost complete answers to ""Front-end Job Interview Questions"" which you can use to interview potential candidates, test yourself or completely ignore","['front-end', 'interview-questions', 'html', 'javascript', 'css', 'web-development', 'css-questions', 'js-questions', 'html-questions', 'interview-test', 'front-end-development', 'front-end-interview']",0,yangshun/front-end-interview-handbook,6,8,0,,1,Hierarchical,False,0,0.0,100.000,0.0,0.0
nprogress,rstacruz,https://github.com/rstacruz/nprogress,2019-01-22T08:47:20Z,2013-08-20T13:58:02Z,19457,441,1603,29,JavaScript,83,45,205,12.682926829268293,0,"For slim progress bars like on YouTube, Medium, etc",[],10,rstacruz/nprogress,293,426,0,,8,Hierarchical,False,0,50.0,21.875,0.0,24.2
PhotoSwipe,dimsemenov,https://github.com/dimsemenov/PhotoSwipe,2019-08-18T12:08:08Z,2011-04-07T05:46:29Z,19062,598,2880,44,JavaScript,462,1009,389,23.65038560411311,3,"JavaScript image gallery for mobile and desktop, modular, framework independent",[],46,dimsemenov/PhotoSwipe,5603,7019,0,,20,Hierarchical,False,0,0.0,5.000,0.0,16.2
mongoose,Automattic,https://github.com/Automattic/mongoose,2019-08-26T19:29:23Z,2010-04-06T21:39:05Z,19306,548,2658,361,JavaScript,281,6394,10523,37.44179416516202,1367,MongoDB object modeling designed to work in an asynchronous environment.,[],539,Automattic/mongoose,55810,78829,51145,81,604,Hierarchical,False,3.3,32.0,0.953,0.0,17.3
bluebird,petkaantonov,https://github.com/petkaantonov/bluebird,2019-07-30T13:44:15Z,2013-09-07T19:39:57Z,18518,378,2300,124,JavaScript,43,1043,2058,25.41302235179786,43,:bird: :zap: Bluebird is a full featured promise library with unmatched performance.,[],265,petkaantonov/bluebird,27309,34806,3701,89,221,Hierarchical,False,0,3.2,0.467,0.0,6.7
pug,pugjs,https://github.com/pugjs/pug,2019-08-14T10:27:27Z,2010-06-23T01:05:42Z,18555,575,1896,164,JavaScript,202,2171,2527,24.81203007518797,15,"Pug – robust, elegant, feature rich template engine for Node.js",[],226,pugjs/pug,5440,6419,83,3,197,Hierarchical,False,0,0.0,0.508,0.0,10.3
sequelize,sequelize,https://github.com/sequelize/sequelize,2019-08-27T14:37:55Z,2010-07-22T07:11:11Z,19723,449,3070,481,JavaScript,521,7459,8273,30.50888432249486,368,An easy-to-use multi SQL dialect ORM for Node.js,"['javascript', 'sql', 'orm', 'transactions', 'mysql', 'postgresql', 'mssql', 'sqlite', 'mariadb']",474,sequelize/sequelize,58991,75120,8659,228,355,Hierarchical,False,3.4,10.1,0.511,0.0,11.0
js-stack-from-scratch,verekia,https://github.com/verekia/js-stack-from-scratch,2018-07-20T04:29:38Z,2016-10-02T13:31:23Z,18082,598,1839,18,JavaScript,37,118,566,16.07773851590106,0,🛠️⚡ Step-by-step tutorial to build a modern JavaScript stack.,"['tutorial', 'stack', 'javascript', 'react', 'redux', 'webpack', 'flow', 'yarn', 'eslint', 'sinon', 'immutablejs', 'jest', 'react-router', 'bootstrap', 'socket-io', 'heroku', 'jss', 'pm2', 'nodemon', 'server-side-rendering']",3,verekia/js-stack-from-scratch,16,20,0,,1,Hierarchical,False,0,0.0,100.000,0.0,0.0
nodemon,remy,https://github.com/remy/nodemon,2019-07-17T13:58:54Z,2010-10-03T12:50:52Z,18863,260,1246,84,JavaScript,8,1189,1102,43.28493647912885,25,Monitor for any changes in your node.js application and automatically restart the server - perfect for development,"['nodemon', 'watch', 'node']",104,remy/nodemon,9278,11508,239,15,155,Hierarchical,False,0,0.0,0.645,0.0,26.7
tabler,tabler,https://github.com/tabler/tabler,2019-08-26T11:14:20Z,2018-02-01T09:08:59Z,18757,567,1821,20,JavaScript,47,185,347,22.478386167146976,188,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,"['dashboard', 'html', 'bootstrap', 'theme', 'sass', 'scss', 'boilerplate-template', 'admin-dashboard', 'dashboard-templates', 'modular', 'dashboards', 'themes', 'jekyll', 'css', 'adminpanel', 'bootstrap4-theme', 'uikit', 'ui-kit', 'bootstrap5', 'tabler']",17,tabler/tabler,-1510,22033,64245,246,311,Borderline Core-Periphery,True,5.1,17.7,1.215,0.3,-798.0
