,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
10,"['neural-network', 'autograd', 'gpu', 'numpy', 'deep-learning', 'tensor', 'python', 'machine-learning']",pytorch/pytorch,277123,54519,Core-Periphery,True,22.3,30.9,24.201,3.6,15.4,19.673213699332067,2.37,1.06,0.21,1.1,"{'useful_comment_density': 'useful_comment_density percentile: 20.930232558139537(+0.20930232558139536)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 16.86046511627907(+0.8313953488372092)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 73.25581395348837(+0.2674418604651163)', 'propagation_cost': 'propagation_cost percentile: 48.83720930232558(+0.5116279069767442)', 'core_size': 'core_size percentile: 45.348837209302324(+0.5465116279069767)'}",LOC,86
11,[],rethinkdb/rethinkdb-legacy,276965,20641,Core-Periphery,True,69.5,69.5,67.96,6.6,13.4,7.452566208726734,1.6,0.08,0.17,1.35,"{'useful_comment_density': 'useful_comment_density percentile: 17.441860465116278(+0.17441860465116277)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.604651162790695(+0.563953488372093)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 20.930232558139537(+0.7906976744186046)', 'propagation_cost': 'propagation_cost percentile: 96.51162790697674(+0.034883720930232585)', 'core_size': 'core_size percentile: 95.34883720930233(+0.04651162790697669)'}",LOC,86
12,[],grpc/grpc,189558,26176,Core-Periphery,True,23.6,22.4,24.308000000000003,6.3,16.7,13.808966121187183,2.04,0.96,0.15,0.93,"{'useful_comment_density': 'useful_comment_density percentile: 14.563106796116505(+0.14563106796116507)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 38.83495145631068(+0.6116504854368933)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 67.96116504854369(+0.3203883495145631)', 'propagation_cost': 'propagation_cost percentile: 49.51456310679612(+0.5048543689320388)', 'core_size': 'core_size percentile: 54.36893203883495(+0.4563106796116505)'}",LOC,103
13,"['game-engine', 'godot', 'godotengine', 'open-source', 'multi-platform', 'gamedev']",godotengine/godot,881596,132703,Core-Periphery,True,24.4,36.0,15.409,17.4,19.3,15.05258644549204,2.12,1.27,0.23,0.62,"{'useful_comment_density': 'useful_comment_density percentile: 23.076923076923077(+0.23076923076923075)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 96.15384615384616(+0.038461538461538394)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 42.30769230769231(+0.576923076923077)', 'propagation_cost': 'propagation_cost percentile: 23.076923076923077(+0.7692307692307692)', 'core_size': 'core_size percentile: 50.0(+0.5)'}",LOC,26
15,['mxnet'],apache/incubator-mxnet,81772,10983,Core-Periphery,True,24.2,28.6,23.926,6.9,19.1,13.431247859903145,2.08,0.73,0.52,0.83,"{'useful_comment_density': 'useful_comment_density percentile: 51.53846153846154(+0.5153846153846154)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 47.69230769230769(+0.5230769230769231)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 69.23076923076923(+0.3076923076923077)', 'propagation_cost': 'propagation_cost percentile: 63.07692307692308(+0.3692307692307692)', 'core_size': 'core_size percentile: 63.84615384615385(+0.36153846153846153)'}",LOC,130
16,[],google/leveldb,16257,540,Borderline Core-Periphery,True,4.5,15.0,21.228,8.3,19.5,3.3216460601587006,2.52,1.17,0.48,0.87,"{'useful_comment_density': 'useful_comment_density percentile: 47.61904761904762(+0.4761904761904762)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 81.9047619047619(+0.18095238095238103)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 31.428571428571427(+0.6857142857142857)', 'propagation_cost': 'propagation_cost percentile: 54.285714285714285(+0.45714285714285713)', 'core_size': 'core_size percentile: 28.571428571428573(+0.7142857142857143)'}",LOC,105
17,"['hhvm', 'php', 'hack', 'hacklang']",facebook/hhvm,526447,64207,Core-Periphery,True,44.1,44.2,44.233000000000004,13.6,14.8,12.196289465036367,1.4,0.32,0.2,0.88,"{'useful_comment_density': 'useful_comment_density percentile: 19.51219512195122(+0.1951219512195122)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 75.60975609756098(+0.24390243902439024)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 36.58536585365854(+0.6341463414634146)', 'propagation_cost': 'propagation_cost percentile: 87.8048780487805(+0.12195121951219505)', 'core_size': 'core_size percentile: 80.48780487804878(+0.19512195121951223)'}",LOC,41
18,"['cognitive-toolkit', 'cntk', 'deep-learning', 'machine-learning', 'deep-neural-networks', 'neural-network', 'distributed', 'python', 'c-plus-plus', 'c-sharp', 'java']",Microsoft/CNTK,127485,16860,Core-Periphery,True,44.3,44.3,41.869,12.5,27.6,13.225085304153431,1.67,0.44,0.7,0.53,"{'useful_comment_density': 'useful_comment_density percentile: 70.27027027027027(+0.7027027027027027)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 78.37837837837837(+0.21621621621621628)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 68.46846846846847(+0.31531531531531526)', 'propagation_cost': 'propagation_cost percentile: 76.57657657657657(+0.23423423423423428)', 'core_size': 'core_size percentile: 79.27927927927928(+0.2072072072072072)'}",LOC,111
19,"['gbdt', 'gbrt', 'gbm', 'distributed-systems', 'xgboost', 'machine-learning']",dmlc/xgboost,14962,242,Hierarchical,False,2.9,27.1,12.617,4.3,26.1,1.6174308247560487,3.46,1.57,0.64,1.25,"{'useful_comment_density': 'useful_comment_density percentile: 64.07766990291262(+0.6407766990291262)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 57.28155339805825(+0.4271844660194175)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 17.475728155339805(+0.8252427184466019)', 'propagation_cost': 'propagation_cost percentile: 25.24271844660194(+0.7475728155339806)', 'core_size': 'core_size percentile: 17.475728155339805(+0.8252427184466019)'}",LOC,103
20,"['security', 'monitoring', 'intrusion-detection', 'sql']",facebook/osquery,68246,2534,Borderline Core-Periphery,True,5.6,50.8,10.273,2.4,24.1,3.7130381267766612,3.75,1.45,0.66,1.64,"{'useful_comment_density': 'useful_comment_density percentile: 66.42335766423358(+0.6642335766423357)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 16.05839416058394(+0.8394160583941606)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 19.708029197080293(+0.8029197080291971)', 'propagation_cost': 'propagation_cost percentile: 27.73722627737226(+0.7226277372262774)', 'core_size': 'core_size percentile: 27.00729927007299(+0.7299270072992701)'}",LOC,137
