,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation
36,[],samueltardieu/aforth,1790,76,Hierarchical,False,66.7,34.6,0,30,4.245810055865921,3.4399999999999995,1.0,0.76,1.68,"['useful_comment_density percentile: 76.0 activation: 0.76', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 4.0', 'propagation_cost percentile: 100.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
37,"['yaml', 'configuration', 'ada']",yaml/AdaYaml,12900,1964,Hierarchical,False,55.0,5.5,1,4,15.224806201550386,2.52,1.52,0.1,0.8999999999999999,"['useful_comment_density percentile: 10.0 activation: 0.1', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 40.0', 'propagation_cost percentile: 48.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
38,[],OneWingedShark/Byron,2262,68,Hierarchical,False,33.7,6.1,0,10,3.0061892130857646,3.3600000000000003,1.4,0.24,1.72,"['useful_comment_density percentile: 24.0 activation: 0.24', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 0.0', 'propagation_cost percentile: 60.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
39,[],pchapin/thumper,1684,92,Hierarchical,False,50.0,5.7,0,18,5.463182897862233,3.7,1.48,0.62,1.6,"['useful_comment_density percentile: 62.0 activation: 0.62', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 12.0', 'propagation_cost percentile: 52.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1790 - 57864 LOC ]NEAREST']"
40,[],joewing/memsim,9573,1361,Hierarchical,False,64.4,5.2,1,4,14.21706883944427,2.64,1.56,0.1,0.98,"['useful_comment_density percentile: 10.0 activation: 0.1', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 32.0', 'propagation_cost percentile: 44.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
41,[],AdaCore/gnatcoverage,57864,7675,Hierarchical,False,58.1,0.1,1,47,13.263860085718235,4.24,2.0,1.0,1.24,"['useful_comment_density percentile: 100.0 activation: 1.0', 'percent_files_overly_complex percentile: 60.0', 'percent_duplicate_uloc percentile: 16.0', 'propagation_cost percentile: 0.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 2262 - 94251 LOC ]NEAREST']"
44,[],jrmarino/ravenadm,29458,3953,Multi-Core,False,66.7,9.3,11,13,13.419105166677983,2.28,1.24,0.32,0.72,"['useful_comment_density percentile: 32.0 activation: 0.32', 'percent_files_overly_complex percentile: 100.0', 'percent_duplicate_uloc percentile: 28.0', 'propagation_cost percentile: 76.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
45,[],jrmarino/AdaBase,21015,6038,Hierarchical,False,56.1,11.6,1,12,28.73185819652629,1.94,1.16,0.28,0.5,"['useful_comment_density percentile: 28.0 activation: 0.28', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 80.0', 'propagation_cost percentile: 84.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
46,[],AdaCore/ada-traits-containers,8729,3329,Hierarchical,False,27.3,8.3,1,32,38.13724367052354,2.5,1.28,0.8,0.42,"['useful_comment_density percentile: 80.0 activation: 0.8', 'percent_files_overly_complex percentile: 70.0', 'percent_duplicate_uloc percentile: 88.0', 'propagation_cost percentile: 72.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
48,[],AdaCore/embedded-runtimes,32798,25556,Hierarchical,False,53.0,0.9,0,34,77.91938532837368,3.5199999999999996,1.88,0.92,0.72,"['useful_comment_density percentile: 92.0 activation: 0.92', 'percent_files_overly_complex percentile: 28.0', 'percent_duplicate_uloc percentile: 100.0', 'propagation_cost percentile: 12.0', 'Core type of architecture is False, ignoring core size', 'number cases: 25 [ 1684 - 57864 LOC ]NEAREST']"
