,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
465,"['c-sharp', 'ioc-container']",structuremap/structuremap,27451,850,Core-Periphery,True,24.3,51.8,25.269000000000002,1.2,17.4,3.0964263596954575,2.42,0.44,0.37,1.61,"{'useful_comment_density': 'useful_comment_density percentile: 36.612021857923494(+0.36612021857923494)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 13.934426229508198(+0.860655737704918)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 25.136612021857925(+0.7486338797814207)', 'propagation_cost': 'propagation_cost percentile: 76.50273224043715(+0.23497267759562845)', 'core_size': 'core_size percentile: 79.23497267759562(+0.20765027322404378)'}",LOC,183
472,"['usb', 'blink1', 'thingm', 'rgb', 'rgb-led', 'led', 'ws2812b', 'ws2812']",todbot/blink1,48297,2162,Core-Periphery,True,18.7,25.6,15.66,12.3,20.7,4.476468517713315,1.85,0.62,0.43,0.8,"{'useful_comment_density': 'useful_comment_density percentile: 42.95302013422819(+0.4295302013422819)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 89.59731543624162(+0.10402684563758385)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 30.201342281879196(+0.697986577181208)', 'propagation_cost': 'propagation_cost percentile: 65.1006711409396(+0.348993288590604)', 'core_size': 'core_size percentile: 73.15436241610739(+0.2684563758389261)'}",LOC,149
466,[],Microsoft/GalaxyExplorer,14584,274,Core-Periphery,True,13.3,34.5,12.74,3.2,20.2,1.8787712561711463,2.4,0.72,0.43,1.25,"{'useful_comment_density': 'useful_comment_density percentile: 42.7710843373494(+0.427710843373494)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 54.21686746987952(+0.45783132530120485)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 21.08433734939759(+0.7891566265060241)', 'propagation_cost': 'propagation_cost percentile: 57.83132530120482(+0.4216867469879518)', 'core_size': 'core_size percentile: 69.87951807228916(+0.3012048192771084)'}",LOC,166
548,[],paolosalvatori/ServiceBusExplorer,63327,22641,Core-Periphery,True,36.3,48.0,33.693000000000005,15.2,11.7,35.752522620683116,0.56,0.19,0.24,0.13,"{'useful_comment_density': 'useful_comment_density percentile: 23.728813559322035(+0.23728813559322035)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 95.76271186440678(+0.04237288135593218)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 91.52542372881356(+0.08474576271186436)', 'propagation_cost': 'propagation_cost percentile: 90.67796610169492(+0.0932203389830508)', 'core_size': 'core_size percentile: 90.67796610169492(+0.0932203389830508)'}",LOC,118
486,[],sirWest/AudioSwitch,4137,0,Core-Periphery,True,39.7,10.3,41.631,1.5,18.3,0.0,2.17,0.14,0.43,1.6,"{'useful_comment_density': 'useful_comment_density percentile: 42.98245614035088(+0.4298245614035088)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 33.333333333333336(+0.6666666666666665)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 6.578947368421052(+0.9342105263157895)', 'propagation_cost': 'propagation_cost percentile: 93.85964912280701(+0.06140350877192986)', 'core_size': 'core_size percentile: 92.10526315789474(+0.0789473684210526)'}",LOC,114
513,"['gcs', 'ardupilot', 'uav', 'autopilot', 'planner', 'mission', 'ros', 'open-source', 'missionplanner', 'c-sharp', 'autonomous', 'pixhawk', 'cube', 'ground', 'control', 'station']",ArduPilot/MissionPlanner,158569,616,Hierarchical,False,0.0,6.2,0.9490000000000001,0.0,0.2,0.38847441807667327,3.95,1.95,0.0,2.0,"{'useful_comment_density': 'useful_comment_density percentile: 0.0(+0.0)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 0.0(+1.0)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 0.0(+1.0)', 'propagation_cost': 'propagation_cost percentile: 5.172413793103448(+0.9482758620689655)', 'core_size': 'core_size percentile: 0.0(+1.0)'}",LOC,58
510,[],paulyoder/LinqToExcel,4019,141,Hierarchical,False,3.1,50.0,22.680999999999997,6.2,17.9,3.5083354068176162,2.14,1.04,0.4,0.7,"{'useful_comment_density': 'useful_comment_density percentile: 39.63963963963964(+0.3963963963963964)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 72.97297297297297(+0.27027027027027034)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 56.75675675675676(+0.4324324324324324)', 'propagation_cost': 'propagation_cost percentile: 72.07207207207207(+0.27927927927927926)', 'core_size': 'core_size percentile: 24.324324324324323(+0.7567567567567568)'}",LOC,111
633,[],Azure/iotedge,74147,11945,Hierarchical,False,1.7,19.7,2.012,3.7,7.9,16.10988981347863,2.69,1.71,0.12,0.86,"{'useful_comment_density': 'useful_comment_density percentile: 12.280701754385966(+0.12280701754385966)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 36.40350877192982(+0.6359649122807017)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 77.19298245614036(+0.22807017543859642)', 'propagation_cost': 'propagation_cost percentile: 11.403508771929825(+0.8859649122807017)', 'core_size': 'core_size percentile: 17.982456140350877(+0.8201754385964912)'}",LOC,114
653,"['unity-asset', 'unity', 'fps-counter', 'stats-monitor', 'stats-for-nerds']",Tayx94/graphy,3129,311,Core-Periphery,True,50.0,50.0,48.333,6.7,17.6,9.939277724512625,0.96,0.09,0.44,0.43,"{'useful_comment_density': 'useful_comment_density percentile: 44.18604651162791(+0.4418604651162791)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 75.5813953488372(+0.24418604651162795)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 81.3953488372093(+0.18604651162790703)', 'propagation_cost': 'propagation_cost percentile: 93.02325581395348(+0.06976744186046517)', 'core_size': 'core_size percentile: 97.67441860465117(+0.023255813953488344)'}",LOC,86
574,"['unity', 'steering-behaviors', 'movement', 'game-ai']",antonpantev/unity-movement-ai,1615,0,Core-Periphery,True,6.7,77.8,7.556,2.2,24.1,0.0,3.2,1.38,0.52,1.3,"{'useful_comment_density': 'useful_comment_density percentile: 52.0(+0.52)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 52.0(+0.48)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 18.0(+0.82)', 'propagation_cost': 'propagation_cost percentile: 10.0(+0.9)', 'core_size': 'core_size percentile: 52.0(+0.48)'}",LOC,50
484,['aspnet-product'],aspnet/DependencyInjection,7926,188,Core-Periphery,True,8.4,24.7,8.378,2.6,16.4,2.371940449154681,2.56,1.1,0.36,1.1,"{'useful_comment_density': 'useful_comment_density percentile: 36.111111111111114(+0.36111111111111116)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 49.30555555555556(+0.5069444444444444)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 40.27777777777778(+0.5972222222222222)', 'propagation_cost': 'propagation_cost percentile: 38.19444444444444(+0.6180555555555556)', 'core_size': 'core_size percentile: 52.083333333333336(+0.47916666666666663)'}",LOC,144
549,"['image-resizer', 'c-sharp', 'shell-extension', 'windows', 'wpf']",bricelam/ImageResizer,1939,0,Core-Periphery,True,6.4,31.9,13.083,2.1,14.7,0.0,2.98,1.12,0.44,1.42,"{'useful_comment_density': 'useful_comment_density percentile: 43.75(+0.4375)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.75(+0.5625)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 14.0625(+0.859375)', 'propagation_cost': 'propagation_cost percentile: 39.0625(+0.609375)', 'core_size': 'core_size percentile: 48.4375(+0.515625)'}",LOC,64
544,"['monogame', 'fna', 'nez', 'farseerphysics']",prime31/Nez,54382,1980,Core-Periphery,True,7.8,27.1,8.382,5.9,37.6,3.6409105954176013,2.9,1.02,0.68,1.2,"{'useful_comment_density': 'useful_comment_density percentile: 67.93893129770993(+0.6793893129770993)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 61.06870229007634(+0.3893129770992366)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 19.083969465648856(+0.8091603053435114)', 'propagation_cost': 'propagation_cost percentile: 44.274809160305345(+0.5572519083969465)', 'core_size': 'core_size percentile: 54.19847328244275(+0.4580152671755725)'}",LOC,131
482,[],facebook-csharp-sdk/facebook-csharp-sdk,6785,698,Hierarchical,False,2.1,41.7,3.043,1.4,25.8,10.287398673544583,3.21,1.77,0.6,0.84,"{'useful_comment_density': 'useful_comment_density percentile: 59.701492537313435(+0.5970149253731344)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 30.223880597014926(+0.6977611940298507)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 85.82089552238806(+0.14179104477611942)', 'propagation_cost': 'propagation_cost percentile: 2.985074626865672(+0.9701492537313433)', 'core_size': 'core_size percentile: 20.149253731343283(+0.7985074626865672)'}",LOC,134
635,"['dotnetcore', 'background-jobs', 'queue', 'mailing']",jamesmh/coravel,4831,595,Hierarchical,False,1.9,17.3,5.83,0.0,12.6,12.316290623059407,3.04,1.71,0.25,1.08,"{'useful_comment_density': 'useful_comment_density percentile: 24.786324786324787(+0.24786324786324787)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 7.264957264957265(+0.9273504273504274)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 84.61538461538461(+0.15384615384615385)', 'propagation_cost': 'propagation_cost percentile: 16.23931623931624(+0.8376068376068376)', 'core_size': 'core_size percentile: 12.820512820512821(+0.8717948717948718)'}",LOC,117
613,"['wpf', 'spy', 'utility']",cplotts/snoopwpf,8017,436,Hierarchical,False,2.7,60.7,3.141,2.7,20.4,5.438443307970562,2.98,1.66,0.45,0.87,"{'useful_comment_density': 'useful_comment_density percentile: 45.39007092198582(+0.45390070921985815)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 51.773049645390074(+0.48226950354609927)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 60.99290780141844(+0.3900709219858156)', 'propagation_cost': 'propagation_cost percentile: 7.092198581560283(+0.9290780141843972)', 'core_size': 'core_size percentile: 26.95035460992908(+0.7304964539007092)'}",LOC,141
561,[],googleprojectzero/sandbox-attacksurface-analysis-tools,37233,2326,Core-Periphery,True,41.4,43.2,40.571999999999996,19.5,48.8,6.247146348669191,1.48,0.15,0.84,0.49,"{'useful_comment_density': 'useful_comment_density percentile: 83.95061728395062(+0.8395061728395062)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 98.76543209876543(+0.0123456790123457)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 52.46913580246913(+0.4753086419753087)', 'propagation_cost': 'propagation_cost percentile: 92.5925925925926(+0.07407407407407404)', 'core_size': 'core_size percentile: 92.5925925925926(+0.07407407407407404)'}",LOC,162
527,"['dependency-injection', 'simpleinjector', 'c-sharp', 'ioc-container', 'di-container']",simpleinjector/SimpleInjector,31649,752,Core-Periphery,True,28.1,18.1,27.816999999999997,9.7,33.4,2.3760624348320643,2.04,0.29,0.7,1.05,"{'useful_comment_density': 'useful_comment_density percentile: 70.28571428571429(+0.702857142857143)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 83.42857142857143(+0.1657142857142857)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 11.428571428571429(+0.8857142857142857)', 'propagation_cost': 'propagation_cost percentile: 83.42857142857143(+0.1657142857142857)', 'core_size': 'core_size percentile: 87.42857142857143(+0.1257142857142857)'}",LOC,175
553,[],StyleCop/StyleCop,58146,7662,Core-Periphery,True,19.3,54.2,9.525,4.8,84.8,13.177174698173562,2.52,0.76,0.99,0.77,"{'useful_comment_density': 'useful_comment_density percentile: 99.15966386554622(+0.9915966386554622)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 50.42016806722689(+0.4957983193277311)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 72.26890756302521(+0.2773109243697479)', 'propagation_cost': 'propagation_cost percentile: 47.89915966386555(+0.5210084033613446)', 'core_size': 'core_size percentile: 76.47058823529412(+0.23529411764705885)'}",LOC,119
