,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
893,"['c', 'curses', 'ncurses', 'file-manager', 'file-management', 'vi-like', 'terminal-based', 'cross-platform', 'console-application', 'gpl', 'vim-like', 'vifm']",vifm/vifm,75571,1784,Core-Periphery,True,30.4,3.1,39.079,12.7,17.4,2.360693916978735,2.2,0.62,0.34,1.24,"{'useful_comment_density': 'useful_comment_density percentile: 33.70786516853933(+0.3370786516853933)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 67.41573033707866(+0.32584269662921345)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 8.98876404494382(+0.9101123595505618)', 'propagation_cost': 'propagation_cost percentile: 76.40449438202248(+0.23595505617977522)', 'core_size': 'core_size percentile: 61.79775280898876(+0.3820224719101124)'}",LOC,89
894,"['vpn', 'strongswan', 'ipsec', 'ikev2', 'vpn-client', 'vpn-server']",strongswan/strongswan,254615,22222,Core-Periphery,True,43.5,5.0,43.52,8.4,19.9,8.727686899829154,2.06,0.5,0.28,1.28,"{'useful_comment_density': 'useful_comment_density percentile: 28.0(+0.28)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 32.0(+0.68)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 40.0(+0.6)', 'propagation_cost': 'propagation_cost percentile: 76.0(+0.24)', 'core_size': 'core_size percentile: 74.0(+0.26)'}",LOC,50
895,"['u-boot', 'router', 'bootloader', 'qualcomm', 'atheros', 'mips', 'recovery']",pepe2k/u-boot_mod,12906,4629,Core-Periphery,True,15.7,28.5,13.388,2.0,55.3,35.867038586703856,3.07,1.32,0.91,0.84,"{'useful_comment_density': 'useful_comment_density percentile: 90.75630252100841(+0.907563025210084)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 18.907563025210084(+0.8109243697478992)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 96.63865546218487(+0.03361344537815128)', 'propagation_cost': 'propagation_cost percentile: 22.689075630252102(+0.7731092436974789)', 'core_size': 'core_size percentile: 45.378151260504204(+0.5462184873949579)'}",LOC,119
897,[],openzfsonosx/zfs,219197,37896,Core-Periphery,True,59.8,59.8,58.058,17.8,22.2,17.2885577813565,0.95,0.04,0.4,0.51,"{'useful_comment_density': 'useful_comment_density percentile: 40.35087719298246(+0.4035087719298246)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 73.6842105263158(+0.26315789473684204)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 75.43859649122807(+0.2456140350877193)', 'propagation_cost': 'propagation_cost percentile: 98.24561403508773(+0.017543859649122737)', 'core_size': 'core_size percentile: 98.24561403508773(+0.017543859649122737)'}",LOC,57
898,[],yasm/yasm,44446,3877,Core-Periphery,True,21.9,26.7,21.611,17.1,26.8,8.722944696935606,2.31,1.05,0.67,0.59,"{'useful_comment_density': 'useful_comment_density percentile: 66.66666666666667(+0.6666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 85.58558558558559(+0.1441441441441441)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 54.95495495495496(+0.45045045045045046)', 'propagation_cost': 'propagation_cost percentile: 43.24324324324324(+0.5675675675675675)', 'core_size': 'core_size percentile: 51.351351351351354(+0.48648648648648646)'}",LOC,111
899,"['networking', 'linux', 'packet-sniffer', 'packet-generator', 'packet-capture', 'toolkit', 'performance']",netsniff-ng/netsniff-ng,35830,1503,Core-Periphery,True,26.6,28.3,18.059,6.4,14.5,4.194808819425063,2.81,1.05,0.36,1.4,"{'useful_comment_density': 'useful_comment_density percentile: 35.65891472868217(+0.3565891472868217)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 34.883720930232556(+0.6511627906976745)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 25.58139534883721(+0.7441860465116279)', 'propagation_cost': 'propagation_cost percentile: 35.65891472868217(+0.6434108527131783)', 'core_size': 'core_size percentile: 59.689922480620154(+0.40310077519379844)'}",LOC,129
901,[],maxbube/mydumper,2896,362,Hierarchical,False,0.0,62.5,19.531,6.2,5.3,12.5,2.08,1.62,0.11,0.35,"{'useful_comment_density': 'useful_comment_density percentile: 10.714285714285714(+0.10714285714285714)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 73.80952380952381(+0.2619047619047619)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 91.66666666666667(+0.08333333333333329)', 'propagation_cost': 'propagation_cost percentile: 27.38095238095238(+0.7261904761904762)', 'core_size': 'core_size percentile: 10.119047619047619(+0.8988095238095238)'}",LOC,84
902,"['networking', 'nat', 'nat-pmp', 'nat-traversal', 'upnp', 'pcp', 'internet-gateway', 'c', 'iptables', 'nftables']",miniupnp/miniupnp,17261,3593,Hierarchical,False,3.4,27.5,3.9210000000000003,3.9,25.1,20.81571172006257,3.18,1.9,0.58,0.7,"{'useful_comment_density': 'useful_comment_density percentile: 57.8125(+0.578125)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 39.0625(+0.609375)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 90.625(+0.09375)', 'propagation_cost': 'propagation_cost percentile: 3.125(+0.96875)', 'core_size': 'core_size percentile: 7.03125(+0.9296875)'}",LOC,128
903,"['mpris', 'cli', 'vlc', 'mediaplayer', 'c', 'cmus', 'mopidy', 'audacious', 'rhythmbox', 'mpd']",acrisci/playerctl,2652,64,Core-Periphery,True,58.3,58.3,69.444,8.3,19.1,2.413273001508296,1.14,0.07,0.52,0.55,"{'useful_comment_density': 'useful_comment_density percentile: 51.76470588235294(+0.5176470588235295)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 87.05882352941177(+0.1294117647058823)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 57.64705882352941(+0.4235294117647059)', 'propagation_cost': 'propagation_cost percentile: 94.11764705882354(+0.058823529411764636)', 'core_size': 'core_size percentile: 98.82352941176471(+0.0117647058823529)'}",LOC,85
906,[],balde/balde,7191,638,Core-Periphery,True,8.9,13.3,21.148000000000003,5.6,5.9,8.872201362814629,2.12,1.31,0.07,0.74,"{'useful_comment_density': 'useful_comment_density percentile: 6.930693069306931(+0.06930693069306931)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 52.97029702970297(+0.4702970297029703)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 73.26732673267327(+0.26732673267326734)', 'propagation_cost': 'propagation_cost percentile: 34.65346534653465(+0.6534653465346534)', 'core_size': 'core_size percentile: 34.65346534653465(+0.6534653465346534)'}",LOC,101
